asv	cluster
asv3248	C1
asv3609	C1
asv3748	C1
asv3195	C1
asv3112	C1
asv3226	C1
asv3539	C1
asv4715	C1
asv875	C1
asv2867	C1
asv1917	C1
asv3457	C1
asv2927	C1
asv4317	C1
asv1828	C1
asv2918	C1
asv4998	C2
asv979	C2
asv4174	C2
asv1443	C2
asv2473	C2
asv2860	C2
asv3441	C2
asv1028	C2
asv1288	C2
asv542	C2
asv5370	C2
asv3529	C2
asv12	C2
asv2437	C2
asv2788	C2
asv2570	C2
asv1061	C2
asv1109	C2
asv1054	C2
asv669	C2
asv615	C2
asv1264	C2
asv2616	C2
asv1053	C2
asv176	C2
asv549	C2
asv3558	C2
asv2624	C2
asv744	C2
asv54	C2
asv802	C2
asv916	C2
asv390	C2
asv502	C2
asv107	C2
asv3126	C2
asv104	C2
asv1513	C2
asv367	C2
asv708	C2
asv1897	C2
asv1119	C2
asv1989	C2
asv260	C2
asv2293	C2
asv868	C2
asv1013	C2
asv2429	C2
asv609	C2
asv61	C2
asv797	C2
asv89	C2
asv1801	C2
asv283	C2
asv2157	C2
asv2105	C2
asv829	C2
asv112	C2
asv442	C2
asv3567	C2
asv727	C2
asv589	C2
asv1709	C2
asv3519	C2
asv756	C2
asv302	C2
asv80	C2
asv4627	C2
asv1042	C2
asv34	C2
asv2121	C2
asv559	C2
asv4257	C2
asv33	C2
asv2203	C2
asv866	C2
asv340	C2
asv205	C2
asv1461	C2
asv605	C2
asv1423	C2
asv901	C2
asv1680	C2
asv2560	C2
asv1611	C2
asv1276	C2
asv374	C2
asv1322	C2
asv316	C2
asv507	C2
asv1570	C2
asv1261	C2
asv8	C2
asv956	C2
asv2856	C2
asv723	C2
asv1702	C2
asv794	C2
asv1515	C2
asv742	C2
asv1046	C2
asv426	C2
asv624	C2
asv1451	C3
asv2822	C3
asv914	C3
asv329	C3
asv707	C3
asv55	C3
asv514	C3
asv3311	C3
asv15	C3
asv1307	C3
asv177	C3
asv2037	C3
asv2187	C3
asv309	C3
asv1728	C3
asv629	C3
asv2390	C4
asv3117	C4
asv2124	C4
asv328	C5
asv1178	C5
asv949	C5
asv153	C5
asv4	C5
asv466	C5
asv2243	C5
asv738	C5
asv100	C5
asv674	C5
asv211	C5
asv231	C5
asv334	C5
asv532	C5
asv4827	C5
asv699	C5
asv98	C5
asv262	C5
asv292	C5
asv108	C5
asv568	C6
asv171	C6
asv387	C6
asv29	C6
asv1228	C6
asv84	C6
asv2113	C6
asv311	C6
asv790	C6
asv206	C6
asv304	C6
asv161	C6
asv2213	C6
asv588	C6
asv1825	C6
asv321	C6
asv3638	C6
asv771	C6
asv517	C6
asv126	C7
asv1250	C7
asv1131	C7
asv288	C7
asv2306	C7
asv201	C7
asv263	C7
asv883	C7
asv964	C7
asv145	C7
asv483	C7
